Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:54vA1DPHdURxxpxpPx2wmU,"RAMBO","RAMBO","Baxter",2022-10-28,343448,40,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:43:12Z,"","Baxter",0.578,0.884,9,-5.796,0,0.0652,0.127,0.000923,0.183,0.402,144.053,4
spotify:track:6phZ9iQDWrB11ZPRjNDdNS,"Go, Acid! - Used Remix","Go, Acid! (Used Remix)","Acid;Used;Joost;Apson",2022-03-24,172800,43,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:43:26Z,"drum and bass,gabber,europop","Albino Sports & Pikvis Records",0.673,0.982,1,-0.505,1,0.0527,0.0358,0.0000047,0.707,0.814,175.039,4
spotify:track:4KbPvG2JzC0Sdu4RtI9y9S,"Magic Carpet","Magic Carpet","Bou;MC Spyda",2020-02-17,276937,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:45:28Z,"drum and bass,bassline,jungle","BassLayerz Recordings",0.633,0.746,10,-4.541,1,0.104,0.151,0.00634,0.0922,0.184,87.043,4
spotify:track:3q2uX1BAjCiKmhEQiqWZTD,"Set Me Free","Set Me Free","Friction",2021-11-26,223526,48,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:47:05Z,"drum and bass,liquid funk,bassline","Elevate Records",0.376,0.969,5,-2.495,0,0.0459,0.0016,0.29,0.162,0.493,173.941,4
spotify:track:1635wWSdp29PO3GxYhy991,"Bel Mercy","Bel Mercy","Jengi",2022-12-02,169606,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:47:53Z,"","FFRR",0.949,0.736,1,-6.17,1,0.0992,0.401,0.736,0.137,0.708,127.016,4
spotify:track:6D1v5PAr6RKuJ8VuaS5aIO,"FLUTE","FLUTE","MONSS",2022-09-23,197489,51,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:48:16Z,"drum and bass,liquid funk","NUFORM",0.75,0.863,7,-3.208,1,0.0451,0.0402,0.593,0.162,0.192,87.513,4
spotify:track:6imZiUw4WfnffJPi6exHEp,"All Ganja Man","All Ganja Man","Serum;MC Spyda",2018-05-14,334915,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:48:34Z,"drum and bass,jungle,bassline","BassLayerz Recordings",0.751,0.96,1,-0.079,1,0.24,0.00799,0.00000269,0.2,0.618,177.071,4
spotify:track:39hweGrOCqq8C9gi2UybOB,"450 - 2020 Mix","Full Wack No Brakes","Bad Boy Chiller Crew;S Dog",2020-09-25,256615,34,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:49:20Z,"bassline","House Anxiety",0.878,0.695,6,-7.713,0,0.206,0.229,0,0.397,0.924,129.949,4
spotify:track:6r8xlPyUQG8zbXbh26duFW,"LET'S TROT!","LET'S TROT!","Brothers;Joel Fletcher",2022-03-18,188111,49,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:50:28Z,"aussie drill,drill,melbourne bounce,bounce","WM Australia",0.872,0.696,2,-6.898,1,0.268,0.0918,0,0.164,0.758,135.087,4
spotify:track:6RKuDa25W0ElVZamOAHriH,"Down","Bass Cracker 2","Jacko",2020-12-18,263283,31,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:50:44Z,"bassline,bass house,drum and bass","Crucast",0.955,0.766,0,-4.666,1,0.0601,0.0215,0.382,0.0806,0.164,134.013,4
spotify:track:7mWjieCRUlxjaGzyD6Ukb0,"R20","R20","Tekraw;MOPCMEH",2021-08-13,150913,0,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:45Z,"g-house,bassline,bass house","BASS LINE",0.893,0.727,0,-5.491,1,0.069,0.00117,0.0124,0.0522,0.682,130.041,4
spotify:track:0xfMlIW8lS40qvpsUw1l0X,"Never Going Home","Never Going Home","Kungs",2021-05-21,169944,64,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:48Z,"","Universal Music Division Island Def Jam",0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,4
spotify:track:1Mze7crzF9BWo82DiAsmjj,"Tour","Tour","Macky Gee",2017-09-19,289371,56,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:54Z,"drum and bass,bassline,bass house","Elevate Records",0.584,0.993,5,1.634,0,0.0527,0.456,0.688,0.129,0.36,175.082,4
spotify:track:5cRDn5aGMLvWsldoRmOOz0,"Solar System","Solar System / Siren","Sub Focus",2019-07-26,288000,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:57Z,"drum and bass,liquid funk","EMI",0.544,0.942,5,-2.552,0,0.0464,0.0355,0.435,0.631,0.303,173.97,4
spotify:track:0aUsqnfEEFwJSOkKe4OHuo,"Draw For The Draw","Moments","Macky Gee;Harry Shotta",2018-07-20,272914,0,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:58Z,"drum and bass,bassline,bass house,jungle","Down 2 Earth Musik",0.583,0.993,1,2.781,1,0.0833,0.189,0.707,0.89,0.672,175.032,4
spotify:track:5l9NEMBpuF5mtjv4vO1Zoq,"Generator","Generator / Beg & Borrow","Dimension",2017-04-21,306206,45,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:55:02Z,"drum and bass,liquid funk","Dimension",0.405,0.957,5,-1.318,0,0.0627,0.0343,0.142,0.0988,0.0779,173.985,4
spotify:track:6sdvLVBHnuNjne2DS2IrJ9,"Sundown","Sundown","Kanine",2019-10-04,268800,0,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:55:03Z,"drum and bass,bassline,liquid funk","UNLEASHED",0.578,0.936,5,-1.838,0,0.0568,0.00592,0.0257,0.226,0.183,174.9,4
spotify:track:2ON6cCZbi7momz4JLx2jTN,"Siren","Solar System / Siren","Sub Focus",2019-07-26,256000,52,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:55:09Z,"drum and bass,liquid funk","EMI",0.486,0.986,5,0.92,0,0.062,0.118,0.684,0.219,0.241,173.983,4
spotify:track:6tC2iHfUlzB2W4ntXXL2BH,"Propane Nightmares","In Silico","Pendulum",2008-05-09,313346,58,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:57:00Z,"drum and bass,dubstep","WM UK",0.356,0.966,7,-4.13,0,0.0825,0.000262,0.148,0.192,0.215,173.992,4
spotify:track:5ami95W9OOWQPwrBb5tud5,"Watercolour - Full Version; Single","Immersion","Pendulum",2010-05-21,304106,59,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:57:09Z,"drum and bass,dubstep","WM UK",0.421,0.896,5,-5.696,0,0.103,0.000174,0.039,0.323,0.169,174.065,4
spotify:track:5cw39FV9eXL3IuLxwpG8Z1,"Slam","Hold Your Colour","Pendulum",2007-05-19,344973,55,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:58:30Z,"drum and bass,dubstep","Breakbeat Kaos",0.428,0.983,10,-4.104,0,0.0478,0.0000304,0.824,0.322,0.3,173.996,4
spotify:track:6u6gTsX0rVhgL5UTwhwUHK,"Blood Sugar - Original Mix","Hold Your Colour","Pendulum",2007-05-19,315733,50,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:59:16Z,"drum and bass,dubstep","Breakbeat Kaos",0.367,0.97,8,-5.109,1,0.128,0.00014,0.806,0.168,0.169,176.007,4
spotify:track:69d0sDgbueWWHuFjcZd996,"Showdown","Showdown","Pendulum",2009-01-01,327706,17,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:00:52Z,"drum and bass,dubstep","WM UK",0.369,0.961,11,-4.593,0,0.0477,0.00000564,0.701,0.133,0.163,174.018,4
spotify:track:4FbbLeFZHry6ajZzBbeh1B,"O","Invaders Must Die","The Prodigy",2009-01-01,216026,2,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:04:10Z,"big beat,breakbeat,hardcore techno","Vertigo Berlin",0.546,0.952,7,-5.142,1,0.0435,0.000732,0.177,0.283,0.556,139.993,4
spotify:track:6vJk0OjT8X2C9zlPmVOgC9,"Roadblox","The Day Is My Enemy","The Prodigy",2015-03-30,300893,41,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:06:26Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.519,0.82,7,-9.41,1,0.0902,0.00145,0.512,0.094,0.195,165.023,4
spotify:track:4Xk1z76vpyqwI2TT3KdKA9,"We Live Forever","No Tourists","The Prodigy",2018-11-02,223819,47,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:06:51Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.545,0.952,0,-4.413,1,0.049,0.000255,0.0432,0.151,0.099,133.036,4
spotify:track:2L1aZnDDgVANTgIKGCI5co,"Last Time","Last Time","Subsonic",2021-10-22,201379,50,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:18:03Z,"drum and bass,bassline","Elevate Records",0.528,0.991,10,-1.982,1,0.117,0.0107,0.647,0.466,0.679,174.06,4
spotify:track:77WI2HaRmm2no6NqSA3G2c,"Take It All","Take It All","Subsonic;Stealth",2024-11-29,226206,50,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:18:13Z,"drum and bass,bassline","Subsonic : Frequencies",0.434,0.882,0,-5.025,0,0.0355,0.00385,0.0288,0.149,0.127,174.038,4
spotify:track:3eBZOEzakLG48zsIKlOZYY,"Launchpad","Launchpad","Subsonic;Aleya Mae",2023-03-23,179310,45,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:18:18Z,"drum and bass,bassline,liquid funk","UKF",0.597,0.963,8,-1.873,1,0.0355,0.407,0.756,0.674,0.83,174.019,4
spotify:track:6nPcSiQUfwIvA5iJSinBFf,"Love VIP","Love VIP / Touchdown VIP","Subsonic",2020-04-10,232500,1,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:18:24Z,"drum and bass,bassline","Crucast",0.851,0.923,2,-0.027,1,0.369,0.0133,0.00113,0.2,0.463,128.069,4
spotify:track:6tCdBWL2AKhu3UMWkx1hlw,"Need Me","Need Me","Subsonic",2020-11-20,247750,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:18:30Z,"drum and bass,bassline","Elevate Records",0.459,0.966,8,-3.142,0,0.13,0.00736,0.452,0.133,0.538,175.078,4
